FID,lat,lon
0,-77.45858505,169.2567687
1,-77.4586214,169.2566481
2,-77.45865775,169.2565276
3,-77.4586941,169.2564071
4,-77.45873045,169.2562865
5,-77.45876679,169.256166
6,-77.45880314,169.2560454
7,-77.45883949,169.2559249
8,-77.45887584,169.2558044
9,-77.45891219,169.2556838
10,-77.45894854,169.2555633
11,-77.45898488,169.2554427
12,-77.45902407,169.2553431
13,-77.45906357,169.2552459
14,-77.45910308,169.2551486
15,-77.45914258,169.2550514
16,-77.45918208,169.2549541
17,-77.45922159,169.2548569
18,-77.45926109,169.2547596
19,-77.4593006,169.2546624
20,-77.4593401,169.2545652
21,-77.4593796,169.2544679
22,-77.45941911,169.2543707
23,-77.45945861,169.2542734
24,-77.45949812,169.2541762
25,-77.45953586,169.2540653
26,-77.45957316,169.2539512
27,-77.45961047,169.253837
28,-77.45964778,169.2537228
29,-77.45968509,169.2536087
30,-77.45972239,169.2534945
31,-77.4597597,169.2533803
32,-77.45979701,169.2532661
33,-77.45983431,169.253152
34,-77.45987162,169.2530378
35,-77.45990893,169.2529236
36,-77.45994623,169.2528094
37,-77.45998354,169.2526953
38,-77.46002426,169.2526098
39,-77.46006525,169.2525266
40,-77.46010624,169.2524433
41,-77.46014722,169.2523601
42,-77.46018817,169.2522765
43,-77.46022905,169.2521921
44,-77.46026992,169.2521077
45,-77.46031079,169.2520233
46,-77.46035167,169.2519389
47,-77.46039254,169.2518544
48,-77.46043342,169.25177
49,-77.46047429,169.2516856
50,-77.46051516,169.2516012
51,-77.46055604,169.2515168
52,-77.4605945,169.2514131
53,-77.46063093,169.251293
54,-77.46066735,169.251173
55,-77.46069496,169.2510182
56,-77.46071509,169.2508339
57,-77.46073522,169.2506496
58,-77.46075535,169.2504653
59,-77.46077548,169.2502811
60,-77.46075675,169.2501782
61,-77.46071336,169.2501268
62,-77.46066997,169.2500755
63,-77.46062658,169.2500242
64,-77.46058319,169.2499729
65,-77.4605398,169.2499216
66,-77.46049641,169.2498703
67,-77.46045303,169.249819
68,-77.46040864,169.2498141
69,-77.46036391,169.2498255
70,-77.46031919,169.2498368
71,-77.46027446,169.2498481
72,-77.46022973,169.2498595
73,-77.460185,169.2498708
74,-77.46014027,169.2498821
75,-77.46009558,169.2498767
76,-77.46005091,169.249861
77,-77.46000625,169.2498453
78,-77.45996158,169.2498296
79,-77.45991691,169.2498139
80,-77.45987225,169.2497982
81,-77.45984333,169.2496501
82,-77.45981643,169.2494852
83,-77.45978952,169.2493203
84,-77.45976261,169.2491554
85,-77.4597357,169.2489905
86,-77.45970879,169.2488257
87,-77.45968189,169.2486608
88,-77.45965498,169.2484959
89,-77.45962807,169.248331
90,-77.45960116,169.2481661
91,-77.4595742,169.2480014
92,-77.45954408,169.2478487
93,-77.45951396,169.2476961
94,-77.45948384,169.2475434
95,-77.45945371,169.2473907
96,-77.45942359,169.2472381
97,-77.45939317,169.2470868
98,-77.45936013,169.2469476
99,-77.45932708,169.2468083
100,-77.45929404,169.246669
101,-77.459261,169.2465298
102,-77.45922795,169.2463905
103,-77.45919491,169.2462513
104,-77.45916187,169.246112
105,-77.45912882,169.2459728
106,-77.45909578,169.2458335
107,-77.45906274,169.2456942
108,-77.45902969,169.245555
109,-77.45899665,169.2454157
110,-77.45896361,169.2452765
111,-77.45894984,169.2450814
112,-77.45893684,169.244884
113,-77.45892385,169.2446866
114,-77.45891086,169.2444893
115,-77.45889786,169.2442919
116,-77.45888487,169.2440945
117,-77.45887188,169.2438971
118,-77.45885888,169.2436998
119,-77.45884589,169.2435024
120,-77.4588329,169.243305
121,-77.4588199,169.2431077
122,-77.45880691,169.2429103
123,-77.45879391,169.2427129
124,-77.45878822,169.2425136
125,-77.45879613,169.2423106
126,-77.45880403,169.2421076
127,-77.45881193,169.2419046
128,-77.45881984,169.2417016
129,-77.45882774,169.2414986
130,-77.4588372,169.2412973
131,-77.45885059,169.2411005
132,-77.45886398,169.2409037
133,-77.45887737,169.2407069
134,-77.45889076,169.2405101
135,-77.45890415,169.2403133
136,-77.45891754,169.2401165
137,-77.45893093,169.2399197
138,-77.45894431,169.2397229
139,-77.4589577,169.2395261
140,-77.45897109,169.2393293
141,-77.45898448,169.2391324
142,-77.45899787,169.2389356
143,-77.45901126,169.2387388
144,-77.45902465,169.238542
145,-77.45903803,169.2383452
146,-77.45905142,169.2381484
147,-77.45906481,169.2379516
148,-77.4590782,169.2377548
149,-77.45909158,169.2375579
150,-77.45910497,169.2373611
151,-77.45911836,169.2371643
152,-77.45913175,169.2369675
153,-77.45914513,169.2367707
154,-77.45915852,169.2365739
155,-77.45917191,169.236377
156,-77.45918529,169.2361802
157,-77.45919868,169.2359834
158,-77.45922555,169.2358417
159,-77.45926641,169.2357571
160,-77.45930726,169.2356725
161,-77.45934812,169.2355879
162,-77.45938897,169.2355033
163,-77.45942983,169.2354187
164,-77.45947068,169.2353341
165,-77.45951154,169.2352495
166,-77.45955239,169.2351649
167,-77.45959325,169.2350804
168,-77.4596341,169.2349958
169,-77.45967496,169.2349112
170,-77.45971581,169.2348266
171,-77.45975667,169.234742
172,-77.45979752,169.2346574
173,-77.45983838,169.2345728
174,-77.45987923,169.2344882
175,-77.45992009,169.2344036
176,-77.45996094,169.234319
177,-77.4600018,169.2342344
178,-77.46004265,169.2341498
179,-77.46008351,169.2340652
180,-77.46012252,169.2339641
181,-77.46016124,169.2338604
182,-77.46019997,169.2337567
183,-77.46023869,169.233653
184,-77.46027742,169.2335493
185,-77.46031614,169.2334456
186,-77.46035487,169.2333419
187,-77.46039359,169.2332383
188,-77.46043101,169.2331266
189,-77.46046328,169.2329835
